nutrition_ID,country_code,age_ID,variable_ID,median,lowerci_95,upperci_95,country_numeric
11748,MUS,4,11,19.2220260488719,7.84189660758227,29.9190499892781,480
11749,MUS,5,11,19.2539594296913,8.2076743558127,29.3032154430615,480
11750,MUS,6,11,18.0066540049076,7.4467685972659,28.0263435936034,480
11751,MWI,1,11,0.335855192313155,0.0015503834821893,5.7569269625499,454
11752,MWI,2,11,0.41286309890812,0.0095983667721233,4.18889730175376,454
11753,MWI,4,11,0.556245372464414,0.0422749234599674,3.28445470289126,454
11754,MWI,5,11,0.525440259881083,0.0428345032642742,2.86246821752198,454
11755,MWI,6,11,0.460158617668355,0.0360741639473966,2.74106778965954,454
11756,MYS,1,11,2.13507571223026,0.0030366648161806,23.1497144927351,458
11757,MYS,2,11,3.70958709404122,0.12423617496661,18.6128596210265,458
11758,MYS,4,11,7.13541175330856,2.92325971857833,14.263427349833,458
11759,MYS,5,11,7.95512079429266,4.71244313773195,13.6237019294591,458
11760,MYS,6,11,7.92860366375703,5.42623092142362,13.3212650806248,458
11761,NAM,1,11,9.17425062489179,0.484238342514341,31.0579187958569,516
11762,NAM,2,11,10.4644928045432,1.40395932587184,28.8786856629238,516
11763,NAM,4,11,12.101236535529,3.55027941707621,24.5204016512719,516
11764,NAM,5,11,11.9278512785324,3.73672185389733,22.9617488839583,516
11765,NAM,6,11,11.1249782834586,3.4248167502275,22.1285095115689,516
11766,NER,1,11,6.47816545278888e-73,1.6764054812458198e-116,2.63808047484631e-57,562
11767,NER,2,11,1.07945914560937e-71,1.38036823689904e-105,3.65539190164455e-58,562
11768,NER,4,11,2.81039073350502e-70,2.3772643826180105e-95,7.080902211493941e-59,562
11769,NER,5,11,2.1349517355786494e-70,3.86372675535378e-96,1.24781288615436e-58,562
11770,NER,6,11,2.76358396946699e-71,6.67797356015695e-99,3.93094702656062e-59,562
11771,NGA,1,11,1.05590581091206,0.006593958469761,15.6885471488713,566
11772,NGA,2,11,1.31231632961906,0.0323257078850512,11.6612157847552,566
11773,NGA,4,11,1.74576612305224,0.171251105438148,8.64606727324989,566
11774,NGA,5,11,1.65867922883755,0.174132416522591,8.10027051932375,566
11775,NGA,6,11,1.46877585900993,0.144919730754037,7.40838212844295,566
11776,NIC,1,11,11.9519062478324,4.81220472068172,22.1274420767227,558
11777,NIC,2,11,14.2919534592026,6.64267860284809,24.3278273854286,558
11778,NIC,4,11,17.9988984822017,9.51579778151946,27.2203938694477,558
11779,NIC,5,11,18.3207537866772,9.74267015250797,27.0966404442773,558
11780,NIC,6,11,17.7229764230701,9.08957176289778,26.7272511428153,558
11781,NLD,1,11,1.20468880880142,0.203176183178384,5.04908001463567,528
11782,NLD,2,11,2.81937342028063,0.688340024034198,8.57270981801521,528
11783,NLD,4,11,7.44565319136512,2.67403952368331,15.5045979353559,528
11784,NLD,5,11,8.73236166978963,3.52421684974899,17.4763219096127,528
11785,NLD,6,11,8.95656143783859,3.49463286982797,17.9236675521836,528
11786,NOR,1,11,2.25412277998456,0.377018002148627,8.64518819196455,578
11787,NOR,2,11,5.08511002199918,1.38467370165627,14.0824499043201,578
11788,NOR,4,11,12.6119744687486,5.05915611865986,23.3420578185074,578
11789,NOR,5,11,15.0011577009319,6.2938469221838,25.1981715850332,578
11790,NOR,6,11,15.2609829047216,6.54968974923349,25.7902666689642,578
11791,NPL,1,11,0.459052834420671,1.36683477615221e-08,14.9969948250338,524
11792,NPL,2,11,1.01526247822985,0.0003007544199333,11.5437091027877,524
11793,NPL,4,11,2.60408456724208,0.316264102966011,8.95674536616533,524
11794,NPL,5,11,3.27185523075522,0.879272847590923,8.58291621058981,524
11795,NPL,6,11,3.64180586086313,1.38538956393689,8.18973992206681,524
11796,NZL,1,11,3.59661200338146,0.994594392825968,10.4144125194185,554
11797,NZL,2,11,7.06352314491414,2.56621150344408,15.7972916432111,554
11798,NZL,4,11,14.9978799284186,7.11271260722744,24.8638491457423,554
11799,NZL,5,11,17.2156115051389,8.68650536198623,27.1277336554122,554
11800,NZL,6,11,17.5883772043711,8.76179134425414,26.8764972861127,554
11801,OMN,1,11,17.5299617199532,3.13191115133814,32.3141630069979,512
11802,OMN,2,11,17.5743357616138,4.73957638890393,30.796036478918,512
11803,OMN,4,11,16.9779600296753,7.19467454550769,28.5274791006894,512
11804,OMN,5,11,15.8451905757836,6.75143547758209,27.3337751431363,512
11805,OMN,6,11,14.3253241269222,5.85279401381541,25.6435216169794,512
11806,PAK,1,11,5.18735412153437,0.0040866936323102,29.3344938754764,586
11807,PAK,2,11,7.48706405778556,0.159489189146218,28.1119521588276,586
11808,PAK,4,11,12.1168191037058,2.84789697662289,28.5024333698506,586
11809,PAK,5,11,13.269593198037,4.4166594310236,29.5272452769275,586
11810,PAK,6,11,14.1434410997568,5.33390480458725,29.6089075342702,586
11811,PAN,1,11,12.2390508133066,5.02334204571399,22.6279851877768,591
11812,PAN,2,11,14.7526116621806,6.71400686612802,24.1275333913619,591
11813,PAN,4,11,18.5649250564907,9.4066904380778,27.3338313250988,591
11814,PAN,5,11,18.845863012382,10.2071552828188,27.7583284461621,591
11815,PAN,6,11,18.203641417975,9.6989182196483,26.9501600824969,591
11816,PER,1,11,5.71684292423484,1.71363190375491,13.7601108976698,604
11817,PER,2,11,6.99644145074359,2.44122849052035,15.5054630494663,604
11818,PER,4,11,9.80005759744668,3.80636888658167,18.7803364585599,604
11819,PER,5,11,10.2381459166727,4.07000965801618,19.2341552188345,604
11820,PER,6,11,9.65684250948956,3.89130990361499,18.8331972432108,604
11821,PHL,1,11,4.27167659906266,0.04876099345871,24.4687979517248,608
11822,PHL,2,11,6.4306621787124,0.45892587820019,22.3000058248464,608
11823,PHL,4,11,10.1774527350961,3.52543628233953,20.040834992392,608
11824,PHL,5,11,11.0538449305776,4.51930351357582,20.3693882296004,608
11825,PHL,6,11,11.2205016456499,4.98555082029314,20.1322041410683,608
11826,PNG,1,11,2.89765311207998e-80,5.15632525808286e-145,1.02684219960751e-60,598
11827,PNG,2,11,1.6153877656346e-76,2.08950637187944e-118,4.62774939150163e-61,598
11828,PNG,4,11,1.18042585845002e-71,2.4031160023861e-96,1.20940138920186e-60,598
11829,PNG,5,11,7.0821045973482295e-71,2.54154367351596e-93,1.24308801024712e-60,598
11830,PNG,6,11,9.673932312482319e-71,2.193752762474e-92,2.30858850369557e-60,598
11831,POL,1,11,5.69136298580017,3.47617002020041,8.71604196507074,616
11832,POL,2,11,7.07668859510974,5.37010282988205,9.10335152591686,616
11833,POL,4,11,9.44129166795473,8.70917715695277,10.1814267096946,616
11834,POL,5,11,9.89654362989518,9.14654828185287,10.6345034850269,616
11835,POL,6,11,9.77307783794218,9.08850235810698,10.4588901451227,616
11836,PRT,1,11,0.676137064754871,0.1052404531443,3.17375897173818,620
11837,PRT,2,11,1.7863121204328,0.414186789055815,6.1778224945147,620
11838,PRT,4,11,5.55094780206648,1.95127407887636,12.0005413216081,620
11839,PRT,5,11,6.66123774991453,2.58872976253062,13.8468858772004,620
11840,PRT,6,11,6.81064857981584,2.65374267015036,14.3939772172897,620
11841,PRY,1,11,5.95985820667316,1.96219421779604,13.5785863947995,600
11842,PRY,2,11,7.47182669427801,2.88547827076491,15.2687635192423,600
11843,PRY,4,11,10.2114216511135,4.37549109905173,18.7004958039366,600
11844,PRY,5,11,10.3462821813819,4.57817676469251,18.6925996303663,600
11845,PRY,6,11,10.0129554466079,4.44273123491264,18.3572049313743,600
11846,PSE,1,11,18.5398047873342,3.50473613898388,32.5037286801156,275
11847,PSE,2,11,18.384564807077,5.31825690990219,31.2284130562726,275
11848,PSE,4,11,17.7202332659726,7.91662936112425,28.9488566998781,275
11849,PSE,5,11,16.5037600155862,7.51465414823404,27.3633585744588,275
11850,PSE,6,11,14.9299824325226,6.24588776672974,25.6617036460841,275
11851,QAT,1,11,16.0374617025917,2.40740971122927,31.8653122688589,634
11852,QAT,2,11,15.4676496026114,3.66058131039631,30.1870040486872,634
11853,QAT,4,11,15.0872655803735,5.31999663036043,26.9999279920956,634
11854,QAT,5,11,13.9482139632057,5.25684384288747,25.5909200807691,634
11855,QAT,6,11,12.5725684507516,4.54080727341279,24.3296592834673,634
11856,ROU,1,11,4.40813285476938,1.0762498771766,11.5051647998259,642
11857,ROU,2,11,5.40660483952569,1.50232987758376,13.0446346760075,642
11858,ROU,4,11,7.15333328190699,2.24359689078729,14.9217565446669,642
11859,ROU,5,11,7.35072132898833,2.36552275472336,15.6328632750511,642
11860,ROU,6,11,7.35866405147455,2.23587624974987,15.2693267959888,642
11861,RUS,1,11,11.0988554157894,3.6315960264232,22.2740258934264,643
11862,RUS,2,11,12.7452706950053,4.62712495332922,24.058423690056,643
11863,RUS,4,11,15.5523090440327,6.58923217853579,25.792593438999,643
11864,RUS,5,11,16.0658034827279,6.67664193687172,26.233601739054,643
11865,RUS,6,11,15.8091463340138,6.54012318255059,26.4585453381741,643
11866,RWA,1,11,33.0,12.2670515342246,33.0,646
11867,RWA,2,11,33.0,19.3689218970556,33.0,646
11868,RWA,4,11,33.0,23.3038698748972,33.0,646
11869,RWA,5,11,33.0,23.1795582305966,33.0,646
11870,RWA,6,11,33.0,22.6422758841385,33.0,646
11871,SAU,1,11,18.2434575530014,3.30418361909604,32.382244093881,682
11872,SAU,2,11,17.8769037795219,5.03748593608921,30.9440521119232,682
11873,SAU,4,11,17.1532692268515,7.42371686572749,28.3321818303484,682
11874,SAU,5,11,16.1659937024191,7.09069771217123,27.5755430356208,682
